Designator,Footprint,Quantity,Value,LCSC Part #
BATT+,TestPoint_Pad_D3.0mm,1,~,
BATT-,TestPoint_Pad_D3.0mm,1,TestPoint_Alt,
"BT1:, BT2:",BAT-SMD_MY-2032-12,2,MY-2032-12,C964833
"BUTTON1, BUTTON2",KEY-SMD_4P-L6.2-W6.2-P4.50-LS9.0,2,DTSM-61R-V-T/R,C224977
"C1, C3",1210,2,47uF 10V,
C2,1210,1,100nF 50V,
C4,1210,1,10uF 25V,
D1,SMA_L4.4-W2.6-LS5.0-RD,1,1N5819_C437199,C437199
"D2, D3",SOT-23,2,SM712_SOT23,
F1,1206,1,Fuse_Small 2A,
"GND, RXD, TXD, USB+, USB-",TestPoint_Pad_D2.0mm,5,TestPoint_Probe,
HDR1,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
LDR1,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR07,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8",LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB,8,WS2812B,
LS1,KSSGK4B16-20,1,KSSGK4B16-20,
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,2N7002_C306856,
"R1, R2, R7, R8",1206,4,10k,
"R3, R4",1206,2,5k1,
R5,1206,1,5k,
"R6, R9",1206,2,200,
U1,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3_C347222,C347222
U2,BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB,1,ESP32-C3-WROOM-02-N4(4MB),
USB1,TYPE-C-SMD_TYPE-C-6P_5,1,TYPE-C 6P(073),C668623
